image,name,attributes/0/trait_type,attributes/0/value,attributes/0/rarity,attributes/1/trait_type,attributes/1/value,attributes/1/rarity,attributes/2/trait_type,attributes/2/value,attributes/2/rarity,attributes/3/trait_type,attributes/3/value,attributes/3/rarity,attributes/4/trait_type,attributes/4/value,attributes/4/rarity,attributes/5/trait_type,attributes/5/value,attributes/5/rarity,attributes/6/trait_type,attributes/6/value,attributes/6/rarity,attributes/7/trait_type,attributes/7/value,attributes/7/rarity,attributes/8/trait_type,attributes/8/value,attributes/8/rarity
https://ipfs.io/ipfs/QmeY78pUF6JsAVWvyQYqnFFoUzsaKms6Yge6BiUxjj68SY?filename=3716.png,3716,Backgrounds,Lavender floral,1086 / 10000,Possessions,Hoverboard,94 / 10000,Breed,Og doge,1604 / 10000,Mouth,Nose ring,74 / 10000,Eyes,Heterochromia,11 / 10000,Headwear,Blue beanie,144 / 10000,Necklace,Two chains,170 / 10000,Clothing,Givenchy suit,66 / 10000,Earrings,Livestock tag,693 / 10000
https://ipfs.io/ipfs/QmUfJ6Zfjq4rSHk36daqxnn15mjErfM3niYq3bhhZLFLYn?filename=4584.png,4584,Backgrounds,Titanium yellow,1139 / 10000,Possessions,Katana,94 / 10000,Breed,Pink doge,956 / 10000,Mouth,Freddy teeth,144 / 10000,Eyes,Hipster specs,416 / 10000,Headwear,Slumdoge bucket hat,12 / 10000,Necklace,Tesla chain,161 / 10000,Clothing,Givenchy suit,66 / 10000,Earrings,Gold cuff,651 / 10000
https://ipfs.io/ipfs/QmS7qnzo6NdHuZU5Yr5wy4CgYHAJTobUQSGWcUn1nbu4bZ?filename=6817.png,6817,Backgrounds,Mint green,1062 / 10000,Possessions,Spiked club,93 / 10000,Breed,Tie dye doge,641 / 10000,Mouth,Freddy teeth,144 / 10000,Eyes,Heterochromia,11 / 10000,Headwear,Green faux hawk,147 / 10000,Necklace,Tesla chain,161 / 10000,Clothing,Tony suit,381 / 10000,Earrings,Livestock tag,693 / 10000
https://ipfs.io/ipfs/QmZ61U14dVErFLEqEYLVsTnD6zmwWcgk9bmihRRcWZ1hoG?filename=8170.png,8170,Backgrounds,Bittersweet,1107 / 10000,Possessions,Zireael,88 / 10000,Breed,Golden dragon doge,259 / 10000,Mouth,Freddy teeth,144 / 10000,Eyes,Speed dealers,471 / 10000,Headwear,Blonde mullet,203 / 10000,Necklace,Pearls,30 / 10000,Clothing,The dude robe,464 / 10000,Earrings,Gold cuff,651 / 10000
https://ipfs.io/ipfs/QmWpWejTQGLF4TYQhnAw1bqnnShcNvv7yR5xYN1rTtaGYN?filename=7161.png,7161,Backgrounds,Lavender floral,1086 / 10000,Possessions,Super soaker,95 / 10000,Breed,Pink doge,956 / 10000,Mouth,Freddy teeth,144 / 10000,Eyes,Aviators,358 / 10000,Headwear,Birdie,174 / 10000,Necklace,Lanyard,137 / 10000,Clothing,Givenchy suit,66 / 10000,Earrings,Livestock tag,693 / 10000
https://ipfs.io/ipfs/QmUo3hx8g1Yyird7ZDWR1ACmnSYmYvpPLjfg92kvz4MNDn?filename=6966.png,6966,Backgrounds,Bittersweet,1107 / 10000,Possessions,Boring flamethrower,106 / 10000,Breed,Og doge,1604 / 10000,Mouth,Diamond grills,59 / 10000,Eyes,Warg,68 / 10000,Headwear,Brown mullet,153 / 10000,Necklace,Two chains,170 / 10000,Clothing,Grecca robe,418 / 10000,Earrings,Diamond stud,736 / 10000
https://ipfs.io/ipfs/QmaH5NWspF8TvKFFPwuPYGyRf9BxRJRk25fJC2fbSfmMkM?filename=6863.png,6863,Backgrounds,Green lizard,1098 / 10000,Possessions,Zireael,88 / 10000,Breed,Pink doge,956 / 10000,Mouth,Freddy teeth,144 / 10000,Eyes,Clubmaster shades,362 / 10000,Headwear,Birdie,174 / 10000,Necklace,Two chains,170 / 10000,Clothing,Givenchy suit,66 / 10000,Earrings,Livestock tag,693 / 10000
https://ipfs.io/ipfs/QmVMLJrjpfGaQfnRGzJAUdDCiwqEGjro1aLuCeJbBpB76z?filename=767.png,767,Backgrounds,Baby blue eyes,1147 / 10000,Possessions,Zireael,88 / 10000,Breed,Jade dragon doge,260 / 10000,Mouth,Doobie,608 / 10000,Eyes,Werewolf,391 / 10000,Headwear,Camo dorag,122 / 10000,Necklace,Pearls,30 / 10000,Clothing,The dude robe,464 / 10000,Earrings,Cross pendant,690 / 10000
https://ipfs.io/ipfs/QmRBpPaaRb4jWbpkAsng4vGyNbu5W7eBA7557VbCi2eAMr?filename=9833.png,9833,Backgrounds,Mint green,1062 / 10000,Possessions,Katana,94 / 10000,Breed,Og doge,1604 / 10000,Mouth,Diamond grills,59 / 10000,Eyes,White walker,136 / 10000,Headwear,Birdie,174 / 10000,Necklace,Lanyard,137 / 10000,Clothing,Tony suit,381 / 10000,Earrings,Livestock tag,693 / 10000
https://ipfs.io/ipfs/Qmc48nPKbgMSTuZJUXw9hp9Az55zaCqU1jct6nXgPZecHy?filename=5480.png,5480,Backgrounds,Laser lemon,1132 / 10000,Possessions,Super soaker,95 / 10000,Breed,Og doge,1604 / 10000,Mouth,Bone,48 / 10000,Eyes,Clockwork lashes,336 / 10000,Headwear,Caesar crown,70 / 10000,Necklace,Gold dogecoin chain,156 / 10000,Clothing,Grecca robe,418 / 10000,Earrings,Gold stud,681 / 10000
